PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Fe2O3,Mineral
Sample1_pt195,37.53,0.03,20.16,27.99,0.97,5.26,7.63,0,Garnet
Sample1_pt196,37.69,0.04,20.16,27.77,0.96,5.35,7.64,0,Garnet
Sample1_pt197,37.8,0,20.24,28.23,0.84,5.31,7.62,0,Garnet
Sample1_pt198,37.65,0.02,20.81,28.03,0.86,5.25,7.67,0,Garnet
Sample1_pt199,37.66,0.06,20.05,27.77,0.83,5.26,7.64,0,Garnet
Sample1_pt200,37.52,0.02,20.4,28.04,0.89,5.26,7.7,0,Garnet
Sample1_pt201,37.59,0.01,19.9,28.2,0.88,5.26,7.7,0,Garnet
Sample1_pt202,37.67,0.06,20.34,28.23,0.88,5.22,7.54,0,Garnet
Sample1_pt203,37.7,0.09,20.18,28.05,0.91,5.21,7.73,0,Garnet
Sample1_pt204,37.88,0.02,20.34,28.08,0.88,5.2,7.63,0,Garnet
Sample1_pt205,37.92,0.06,20.33,28.12,0.9,5.2,7.71,0,Garnet
Sample1_pt206,37.82,0.08,20.36,28.29,0.84,5.22,7.7,0,Garnet
Sample1_pt207,37.9,0.1,20.2,28.24,0.91,5.22,7.64,0,Garnet
Sample1_pt208,38.38,0.04,20.35,28.35,0.89,5.29,7.63,0,Garnet
Sample1_pt209,37.87,0.09,20.11,28.07,0.88,5.27,7.67,0,Garnet
Sample1_pt210,37.67,0.04,20.25,28.11,0.88,5.24,7.58,0,Garnet
Sample1_pt211,37.26,0.03,20.15,28.19,0.95,5.06,7.48,0,Garnet
Sample1_pt212,37.5,0.06,20.12,28.27,1.13,5.01,7.69,0,Garnet
Sample1_pt213,37.87,0.06,20.31,27.74,0.89,5.33,7.67,0,Garnet
Sample1_pt214,37.87,0.07,20.15,27.78,0.92,5.28,7.6,0,Garnet
Sample1_pt215,38.97,0.06,19.93,28.04,0.87,5.21,7.59,0,Garnet
Sample1_pt216,36.3,0,19.37,28.16,0.84,5.03,7.84,0,Garnet
Sample1_pt217,37.69,0.06,20.08,28.04,0.85,5.12,7.49,0,Garnet
Sample1_pt218,37.84,0.02,20.22,28.12,0.9,5.18,7.5,0,Garnet
Sample1_pt219,37.83,0.06,20.17,28.04,0.85,5.44,7.42,0,Garnet
Sample1_pt220,37.74,0.05,20.02,27.94,0.89,5.38,7.16,0,Garnet
Sample1_pt221,38.11,0.04,20.23,28.66,0.84,5.44,7.08,0,Garnet
Sample1_pt222,38.06,0.05,20.29,28.58,0.85,5.19,7.12,0,Garnet
Sample1_pt223,37.43,0.05,20.15,28.43,0.89,5.34,7.28,0,Garnet
Sample1_pt224,37.68,0.01,20.08,28.43,0.84,5.5,7.16,0,Garnet
Sample1_pt225,37.75,0.03,20.15,28.32,0.88,5.25,7.2,0,Garnet
Sample1_pt226,37.89,0.04,19.99,28.35,0.79,5.25,7.26,0,Garnet
Sample1_pt227,37.83,0.02,20.26,28.51,0.79,5.34,7.38,0,Garnet
Sample1_pt228,37.69,0.01,20.25,28.28,0.82,5.34,7.35,0,Garnet
Sample1_pt229,37.86,0.02,20.13,28.69,0.86,5.26,7.47,0,Garnet
Sample1_pt230,37.8,0,20.37,28.52,0.81,5.46,7.05,0,Garnet
