PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt23,37.38,0.16,21.17,0.04,25.34,3.27,1.72,10.51,Garnet
Sample1_pt24,37.15,0.18,20.97,0.03,25.22,3.52,1.6,10.47,Garnet
Sample1_pt25,37.76,0.15,21.15,0.04,25.36,3.71,1.84,10.24,Garnet
Sample1_pt26,37.71,0.16,21.1,0.04,25.35,3.57,1.68,10.71,Garnet
Sample1_pt27,37.36,0.06,21.24,0.04,25.92,3.87,1.75,9.71,Garnet
Sample1_pt28,37.24,0.21,21.14,0,25,3.88,1.66,10.38,Garnet
Sample1_pt29,37.43,0.08,20.88,0.06,25.17,3.43,1.95,10.33,Garnet
Sample1_pt30,37.76,0.04,21.37,0.1,24.82,3.3,1.65,11.34,Garnet
Sample1_pt31,37.4,0.21,21.01,0.05,24.63,3.4,1.72,10.85,Garnet
Sample1_pt32,37.74,0.18,20.95,0.06,24.46,3.37,1.7,11.61,Garnet
Sample1_pt33,37.36,0.04,20.94,0.11,25.21,3.65,1.48,10.52,Garnet
Sample1_pt34,37.93,0.15,20.98,0.11,25.09,3.67,1.49,11.11,Garnet
Sample1_pt35,37.75,0.1,21.18,0.06,25.74,3.04,1.37,10.99,Garnet
Sample1_pt36,37.58,0.17,21.21,0.09,24.75,2.63,1.6,11.66,Garnet
Sample1_pt37,37.55,0.06,20.95,0.05,24.13,3.3,1.34,11.67,Garnet
Sample1_pt38,37.52,0.14,21.1,0.12,23.24,5.18,1.29,11.33,Garnet
Sample1_pt39,37.29,0.25,20.9,0.1,21.74,6.91,1.26,11.06,Garnet
Sample1_pt40,37.26,0.15,20.81,0.09,21.51,7.08,1.41,10.82,Garnet
Sample1_pt41,37.14,0.19,20.52,0.18,21.82,7.34,1.21,10.64,Garnet
Sample1_pt42,37.22,0.08,21.09,0.02,20.99,7.5,1.23,10.95,Garnet
Sample1_pt43,37.38,0.09,21.06,0.05,21.25,8.23,1.12,10.9,Garnet
Sample1_pt44,37.17,0.12,21.07,0.12,20.64,8.06,1.07,11.03,Garnet
Sample1_pt45,37.56,0.04,21.09,0.13,21.18,7.87,1.15,10.92,Garnet
Sample1_pt46,37.58,0.07,21.03,0.09,21.24,7.17,1.25,11.14,Garnet
Sample1_pt47,37.12,0.12,20.74,0.08,20.74,8.24,1.14,10.69,Garnet
Sample1_pt48,36.75,0.18,20.34,0.08,20.72,8.46,1.13,10.92,Garnet
Sample1_pt49,37.34,0.12,20.53,0.06,21.03,8.4,1.16,10.75,Garnet
Sample1_pt50,36.97,1.7,20.36,0.05,20.14,8.17,1.13,11.65,Garnet
Sample1_pt51,37.23,0.15,20.89,0.03,21.32,8.34,1.07,10.82,Garnet
Sample1_pt52,37.1,0.05,20.94,0.04,21.2,8.28,1.14,10.49,Garnet
Sample1_pt53,37.29,0.16,21.06,0.01,21.07,7.74,1.2,11.12,Garnet
